nohup: ignoring input
================================================================================
🚀 算力怪兽觉醒：256核并行 | 全局纯缩放 | 1D 宏观常数 k1 寻优
================================================================================
[*] 正在加载靶向黎曼零点...
[*] 演化步数已锁定为: 100亿步
[*] 寻优法则: 纯缩放 (Pure Scaling) + 全局误差计算 (不屏蔽前50点)
[*] ⚠️ 正在为 256核 阵列分配任务，起飞！
[Worker] 尝试 k=7.254346 | 纯缩放 Scale=3526.0984 | 全局 MSE=2276487.9654 | 耗时=2298.3s
[Worker] 尝试 k=13.528986 | 纯缩放 Scale=1288.5673 | 全局 MSE=212140.4096 | 耗时=2298.3s
[Worker] 尝试 k=6.361652 | 纯缩放 Scale=465.0385 | 全局 MSE=4120.6226 | 耗时=2298.8s
[Worker] 尝试 k=8.197947 | 纯缩放 Scale=453.4750 | 全局 MSE=2433.4280 | 耗时=2298.8s
[Worker] 尝试 k=5.672961 | 纯缩放 Scale=612.6194 | 全局 MSE=19916.6321 | 耗时=2299.0s
[Worker] 尝试 k=5.918183 | 纯缩放 Scale=631.2125 | 全局 MSE=24494.7132 | 耗时=2299.3s
[Worker] 尝试 k=5.285962 | 纯缩放 Scale=1291.1191 | 全局 MSE=204972.2236 | 耗时=2300.8s
[Worker] 尝试 k=5.549181 | 纯缩放 Scale=422.9947 | 全局 MSE=2426.2956 | 耗时=2300.9s
[Worker] 尝试 k=14.841423 | 纯缩放 Scale=746.2079 | 全局 MSE=35530.1409 | 耗时=2302.1s
[Worker] 尝试 k=11.713146 | 纯缩放 Scale=339.8289 | 全局 MSE=69.6607 | 耗时=2303.9s
